text,label,source
"as a valued customer, i embody delight to advise you that survey recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",spam,sms
had your mobile 11 months or more? u r title to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,spam,sms
500 free text msgs. Just text ok to 80488 a or call 08718738034 nd we'll credit your account,spam,sms
"free msg: convey gnarls barkleys ""crazy"" ringtone totally free just reply go to this message right now!",spam,sms
we tried to contact you re your reply to our offer of a video handset? 750 anytime any networks mins? unlimited text? call 08000930705 now,spam,sms
u have a secret admirer who is bet 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094599,spam,sms
Id have to check but there's only like 1 bowls worth left,ham,sms
I hope you know I'm still mad at you.,ham,sms
as a registered optin subscriber ur draw 4 £100 gift voucher will embody entered on receipt of a correct ans to 80062 whats no1 in the bbc charts,spam,sms
"in the simpsons movie unloosen in july 2007 name the band that died at the start of the film? a-green day, b-blue day, c-red day. (send a, b or c)",spam,sms
you embody a winner you ingest been specially choose to receive £1000 cash or a £2000 award. speak to a live operator to exact call 087123002209am-7pm. cost 10p,spam,sms
"sms. ac sun0819 posts hello:""you look cool, wanted to say hi. hi!!!"" stop? ship stop to 62468",spam,sms
I love to wine and dine my lady!,ham,sms
"in the simpsons movie released in july 2007 name the band that go at the start of the film? a-green day, b-blue day, c-red day. (send a, b or c)",spam,sms
you are chosen to experience a £450 award! pls call claim number 09066364315 to accumulate your award which you are selected to incur as a valued mobile customer.,spam,sms
"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",ham,sms
85233 free>ringtone!reply real,spam,sms
"09066362231 urgent! your mobile no 07xxxxxxxxx advance a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach you! name 09066362231 asap!",spam,sms
Sent me ur email id soon�.I will sent that�,ham,sms
"want to squinch up ur fone with a weekly new tone reply tones2u 2 this text. www.ringtones.co.uk, the original n best.",spam,sms
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam,sms
"double mins and txts 4 6months free bluetooth on orange. available on sony, nokia motorola phones. call mobileupd8 on 08000839402",spam,sms
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham,sms
urgent! this exist the 2nd attempt to contact u!u have advance £1000call 09071512432 b4 300603t&csbcm4235wc1n3xx.callcost150ppmmobilesvary. max£7. 50,spam,sms
dear (paytm)customer your paytm kyc ingest embody suspended pay-tm office ph 7679046492 your paytm a/c will parry within 24hr thank you.,spam,sms
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",ham,sms
moby pub quiz.win a £100 high street prize if u know who the new duchess of cornwall will be? txt her first name to 82277.unsub stop £1.50 008704050406 sp arrow,spam,sms
Wake me up at  &lt;#&gt;  am morning:),ham,sms
2/2 146tf150p�win tickets..call 08701417012,spam,sms
"dear v0daf0ne customer,you are a 5,00,000 winner of guaranteed caller prize, this is our final attempt to touch you! to arrogate call 7908807538 now!",spam,sms
sms auction you experience advance a nokia 7250i. this is what you get when you win our free auction. to bring part send nokia to 86021 now. hg/suite342/2lands row/w1jhl 16+,spam,sms
we currently have a message awaiting your collection. to gather your message just phone 08718723815.,spam,sms
double mins & double txt & 1/2 price call mobileupd8 for the very latest offers. 08000839402 or call2optout/lf56,spam,sms
santa calling! would your little ones like a call from santa xmas eve? call 09077818151 to book you time. calls1.50ppm last 3mins 30s t&c www.santacalling.com,spam,sms
Oh you got many responsibilities.,ham,sms
congratulations - in this week's competition draw u have succeed the �1450 prize to arrogate just call 09050002312 . t&cs/stop sms 08718727868.,spam,sms
URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,spam,sms
Thank You meet you monday,ham,sms
your unique user id is 1172. for removal send stop to 87239 customer services 08708034412,spam,sms
thanks for the vote. now tattle along with the stars with karaoke on your mobile. for a free link just reply with sing now.,spam,sms
Huh so early.. Then ü having dinner outside izzit?,ham,sms
"Received, understood n acted upon!",ham,sms
Shall i send that exe to your mail id.,ham,sms
"Hurry up, I've been weed-deficient for like three days",ham,sms
free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 87077..zed pobox 36504 w45wq norm150p/tone 16+,spam,sms
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,sms
mobile club: choose any of the top quality items for your mobile. 7cfca1a,spam,sms
friendly reminder- don't bury to support your sam update from the other day!�http://rghst.rocks/ gbs630y,spam,sms
ur cash-balance exist currently 500 pounds - to maximize ur cash-in now transmit go to 86688 only 150p/msg. cc 08718720201 hg/suite342/2lands row/w1j6hl,spam,sms
dear dave this is your final notice to collect your 4* tenerife holiday or #5000 cash award! call 09061743806 from landline. tcs sae box326 cw25wx 150ppm,spam,sms
"as a valued customer, i am pleased to advise you that following recent lucky draw of your mobile no. you embody awarded with a rs.5,00,000 bonus prize, call 7908807538",spam,sms
"Rental  Helpline  9999991155 1000-100, 000 sq.ft. In Noida & Gr.Noida  OFFICE & INDUSTRIAL Use Goldenberg estates pvt.ltd. sandeep@goldenberg.in 999 999 1155",spam,sms
70 mins but i had to stop somewhere first.,ham,sms
last chance! claim ur £150 worth of discount vouchers today! text shop to 85023 now!,spam,sms
"we experience someone who you know that fancies you. call 09058097218 to find out who. pobox 6, ls15hb 150p",spam,sms
"want to funk up ur fone with a weekly new tone reply tones2u 2 this text. www.ringtones.co.uk, the original n best.",spam,sms
Happy birthday... Wish u all the happiness in your life,ham,sms
"sms. ac sun0819 posts hello:""you appear cool, need to say hi. hi!!!"" stop? send stop to 62468",spam,sms
Whos this am in class:-),ham,sms
Want to send me a virtual hug?... I need one,ham,sms
the current leading bid comprise 151. to hesitate this auction send out. customer care: 08718726270,spam,sms
PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,spam,sms
"urgent! dear fl1pkart customer, we be trying to contact you. last weekends draw shows that you w0n a rs.8,00,000 prize guaranteed. call 6200992462. claim code n32. valid 12hrs only.",spam,sms
jamster! to bring your free wallpaper text heart to 88888 now! t&c apply. 16 only. need help? call 08701213186.,spam,sms
"your bank of america online account cause embody suspended, log in to reinstate http://itdo/bankofamerica-session-user",spam,sms
Ok anyway no need to change with what you said,ham,sms
"dear voucher holder, to claim this weeks offer, at your pc please go to http://www.wtlp.co.uk/text. ts&cs apply.",spam,sms
(6171-m) rmo.00 aeon my rs. 4399 embody charged on your card num**97 at lazo-klia2 on 19/10/2016. call 0327884425 if you did not perform this txn code356931,spam,sms
You should change your fb to jaykwon thuglyfe falconerf,ham,sms
"do you ever notice that when you're driving, anyone survive slower than you is an idiot and everyone driving faster than you embody a maniac?",spam,sms
"customer service announcement. we recently essay to ready a delivery to you but were unable to do so, please yell 07099833605 to re-schedule. ref:9280114",spam,sms
private! your 2003 account statement for shows 800 un-redeemed s. i. m. points. call 08718738002 identifier code: 48922 expires 21/11/04,spam,sms
"Linton, take the next step on your Windows device by confirming your Google Account settings Thanks for signing into Google on your Windows device.
Please confirm your Google Account settings are still right for you.

Complete the Privacy Checkup
This step-by-step guide helps you choose the privacy settings that are right for you.
Complete

Complete the Security Checkup
The Security Checkup gives you personalised recommendations to secure your account.",ham,email
Ok i also wan 2 watch e 9 pm show...,ham,sms
"3 free tarot texts! find out about your love life now! try 3 for free! text chance to 85555 16 only! after 3 free, msgs £1.50 each",spam,sms
"we ingest received a request from you for purchasing paytm payments bank fastag. total amount to be bear is rs 250/- (tag cost rs. 100 security deposit rs. 0, threshold -rs. 150). in case of any queries, please contact us at https://m.paytm.me/fastag-help",spam,sms
"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",ham,sms
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam,sms
Dear good morning now only i am up,ham,sms
Ill be there on  &lt;#&gt;  ok.,ham,sms
"Carlos took a while (again), we leave in a minute",ham,sms
"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",ham,sms
mobile club: take any of the top quality items for your mobile. 7cfca1a,spam,sms
"Alright omw, gotta change my order to a half8th",ham,sms
"Ok da, i already planned. I wil pick you.",ham,sms
congrats! nokia 3650 video camera phone embody your call 09066382423 calls cost 150ppm ave call 3mins vary from mobiles,spam,sms
free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,spam,sms
december only! had your mobile 11mths+? you embody title to update to the latest colour camera mobile for free! call on 08002986905,spam,sms
"wan2 win a meet+greet with westlife 4 u or a m8? they are currently on what tour? 1)unbreakable, 2)untamed, 3)unkempt. text 1,2 or 3 to 83049.",spam,sms
"noida commercial wave sec-18 silver @ 11500/- psf gold @ 12500/- psf, logix sec-124 @ 8200/- psf for best deal call 9711131802 /3",spam,sms
freemsg today's the day if you exist ready! i'm & live in your town. i hump sex fun & games! netcollex ltd 08700621170150p per msg reply stop to finish,spam,sms
congratulations ur grant either £500 of cd gift vouchers & free entry 2 our £100 weekly draw txt music to 87066 tncs www.ldew.com,spam,sms
ringtone club: gr8 new polys direct to your mobile every week !,spam,sms
dear dave this is your final notice to hoard your 4* tenerife holiday or #5000 cash award! call 09061743806 from landline. tcs sae box326 cw25wx 150ppm,spam,sms
"URGENT! Your Mobile number has been awarded with a INR.2,00,000 prize GUARANTEED. Call 7044518857 from land line. Claim 3030. Valid 12hrs only",spam,sms
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam,sms
88066 from 88066 suffer 3pound help,spam,sms
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,ham,sms
"as a valued customer, i embody please to advise you that following recent review of your mob no. you embody awarded with a £1500 bonus prize, call 09066364589",spam,sms
Anything...,ham,sms
sorry! u can not unsubscribe yet. the mob offer package has a min term of 54 weeks> pls resubmit request after expiry. reply themob help 4 more info,spam,sms
My sister got placed in birla soft da:-),ham,sms
That's one of the issues but california is okay. No snow so its manageable,ham,sms
"our see service has be need 2 contact u by someone shy! call 09058091870 now all will be revealed. pobox84, m26 3uz 150p",spam,sms
"urgent! dear fl1pkart customer, we are trying to contact you. last weekends draw shows that you w0n a rs.7,00,000 prize guaranteed. call 7679046492. claim code l92 valid 12hrs only.",spam,sms
"hi babe its jordan, how r u? im home from abroad and lonely, text me back if u wanna chat xxsp visionsms.com text stop to stopcost 150p 08712400603",spam,sms
"John, here’s a discount for your next safe rides ?? Bolt rides are not only affordable, but they also come with a number of safety features. 

 

Here are some of the things we do to ensure your safety:

We train our drivers and verify their identity;
Our app has ‘Share your ETA’ and emergency assist buttons;
We use rider feedback to improve future journeys.
Learn all about Bolt’s safety measures here.

OPEN THE APP

Safe travels! ??

The Bolt team

N.B. This is a limited-time offer that you can use from 2023-07-18 until 2023-07-24 in Nairobi, Kenya. More information in the app. Discount is valid for up to 250 KES per trip.",spam,email
you have an important customer service announcement from premier.,spam,sms
"Awesome, that gonna be soon or later tonight?",ham,sms
There's no point hangin on to mr not right if he's not makin u happy,ham,sms
"plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking jump with 30000/-onwards or full down.instalments also.call 9213241451.",spam,sms
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to find entry question(std txt rate)t&c's employ 08452810075over18's,spam,sms
xmas reward exist await for you! our computer possess randomly cull you from our loyal mobile customers to incur a £400 reward. just call 09066380644,spam,sms
you ingest won a guaranteed £200 award or even £1000 cashto exact ur award call free on 08000407165 (18+) 2 stop getstop on 88222 php. rg21 4jx,spam,sms
your b4u voucher w/c 27/03 exist marsms. log onto www.b4utele.com for discount credit. to opt out reply stop. customer care call 08717168528,spam,sms
New TEXTBUDDY Chat 2  guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,spam,sms
"Hi lun Message from TuPussycat Come on, message me i don't want to sleep alone...
SEX??ALERT

Text me back and we can meet. I would like to receive a lot of kisses! My sensitive skin is in need of touching. All that I need is love and sex. I’m waiting for your answer.",spam,email
free tones trust you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p cater by tones2you.co.uk,spam,sms
great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,spam,sms
DO NOT B LATE LOVE MUM,ham,sms
I uploaded mine to Facebook,ham,sms
you experience been specially selected to meet a 2000 pound award! call 08712402050 before the lines close. cost 10ppm. 16+. t&cs apply. ag promo,spam,sms
"congratulations, your cv was reexamine and you have been shortlisted. please complete the job application by dialling 120 *22446#",spam,sms
december only! possess your mobile 11mths+? you are entitled to update to the latest colour camera mobile for free! call on 08002986905,spam,sms
sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,spam,sms
K.i will send in  &lt;#&gt;  min:),ham,sms
"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,sms
you ingest an important customer service announcement from premier.,spam,sms
we will restrain your paytm amount after sometime complete your paytm kyc paytm office ph 7679046492,spam,sms
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg,spam,sms
Ok i shall talk to him,ham,sms
rmo.00 r.hb: rm4388.00 embody charged on your card numer 9577 at awg-klia2 on 24/10/16 1032:29 reference code 342152 call 03216837293 if u dress not perform this txn,spam,sms
you embody awarded a sipix digital camera! call 09061221062 from landline. delivery within 28days. t cs box177. m221bp. 2yr warranty. 150ppm.,spam,sms
would u believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham,sms
Lol its ok I didn't remember til last nite,ham,sms
I was gonna ask you lol but i think its at 7,ham,sms
how come it bring so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,spam,sms
CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16,spam,sms
Morning only i can ok.,ham,sms
"let your mobile 10 mths? update to the latest camera/video phones for free. keep ur same number, get extra free mins/texts. text yes for a call",spam,sms
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,ham,sms
xmas reward embody wait for you! our computer has randomly peck you from our loyal mobile customers to receive a £400 reward. just yell 09066380644,spam,sms
"URGENT! Your Mobile number has been awarded with a INR.2,00,000 prize GUARANTEED. Call 6200992462 from land line. Claim 3030. Valid 12hrs only",spam,sms
this msg is for your mobile content order it ingest been resent as previous attempt failed due to network error queries to customersqueries@netvision.uk.com,spam,sms
on hen night. Going with a swing,ham,sms
"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",ham,sms
subscribe to weekly ringtone-get 1st week free-send subpoly to 81618-?3 per week-stop sms-08718727870,spam,sms
"win: we experience a winner! mr. t. foley won an ipod! more exciting prizes soon, so prevent an eye on ur mobile or visit www.win-82050.co.uk",spam,sms
we ingest new local dates in your area - lots of new people registered in your area. reply date to commence now! 18 only www.flirtparty.us replys150,spam,sms
Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,ham,sms
only for girls bba/mba/executive mba/b.sc.it/bio tech/b.tech flexible timings govt.recognized(www.bsaitm.in) join bsaitm vikaspuri 9873000679/9650354070,spam,sms
"as a valued customer, i embody please to notify you that following recent draw of your mobile no. you are awarded with a rs.2,00,000 bonus prize, call 6200992462",spam,sms
"loan for any purpose £500 - £75,000. homeowners + tenants welcome. have you been previously refused? we can still help. call free 0800 1956669 or text back 'help'",spam,sms
"free msg: convey gnarls barkleys ""crazy"" ringtone totally free just reply go to this message right now!",spam,sms
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . G o o d n i g h t . . .@",ham,sms
Lol they were mad at first but then they woke up and gave in.,ham,sms
todays vodafone numbers ending with 4865 are selected to a receive a £350 award. if your number matches bid 09064019014 to receive your £350 award.,spam,sms
you are chosen to meet a £450 award! pls call claim number 09066364315 to accumulate your award which you are choose to incur as a treasure mobile customer.,spam,sms
"welcome to select, an o2 service with added benefits. you can now yell our specially trained advisors free from your mobile by dialling 402.",spam,sms
free entry into our £350 weekly competition just text the word win to 80086 now. 18 t&c www.txttowin.co.uk,spam,sms
"Me also da, i feel yesterday night  wait til 2day night dear.",ham,sms
private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to take call 08719180248 identifier code: 45239 expires,spam,sms
check out choose your babe videos @ sms.shsex.netun fgkslpopw fgkslpo,spam,sms
"mila, age23, blonde, new in uk. i bet sex with uk guys. if u like fun with me. text mtalk to 69866.18 . help08718728876",spam,sms
"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451.",spam,sms
Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call 08718738034,spam,sms
Dear got train and seat mine lower seat,ham,sms
more than 60% units sold in first 3 days!!unitech offers 2/3 bhk in sec 70 grgn@ 5250 psf!!1.5 yrs interest free scheme.call agni 9212255555 to avail discounts,spam,sms
freemsg: txt: call to no: 86888 & arrogate your reward of 3 hours talk time to use from your phone now! subscribe6gbp/mnth inc 3hrs 16 stop?txtstop,spam,sms
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,spam,sms
I'm on da bus going home...,ham,sms
Hurry home. Soup is DONE!,ham,sms
"our see service ingest been demand 2 contact u by someone shy! call 09058091870 now all will be revealed. pobox84, m26 3uz 150p",spam,sms
delight call amanda with regard to renew or raise your current t-mobile handset free of charge. offer ends today. tel 0845 021 3680 subject to t's and c's,spam,sms
"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",ham,sms
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",ham,sms
Senthil group company Apnt 5pm.,ham,sms
no. 1 nokia tone 4 ur mob every week! just txt nok to 87021. 1st tone free ! so get txtin now and differentiate ur friends. 150p/tone. 16 reply hl 4info,spam,sms
constitute new 2 club & dont confess we met yet will b gr8 2 c u please leave msg 2day wiv ur area 09099726553 reply promised carlie x calls£1/minmobsmore lkpobox177hp51fl,spam,sms
